Roller Coaster,Amusement Park,Type,Design,Status,Opened
Avalanche,Kings Dominion,Steel,Bobsled,Operating,1988-01-01
Avalanche,Blackpool Pleasure Beach,Steel,Bobsled,Operating,1988-01-01
Avalanche,Timber Falls Adventure Park,Wood,Sit Down,,2004-01-01
Avalanche,Jolly Roger Amusement Park,Steel,Sit Down,,2008-01-01
Avatar Airbender,Nickelodeon Universe,Steel,Sit Down,Operating,2008-01-01
Avengers Roller Coaster,L'Île aux Géants,Steel,Sit Down,Operating,2018-01-01
Aventura,Safari Park,Steel,Sit Down,Operating,2016-01-01
Avonturenslang,Avonturenpark Hellendoorn,Steel,Sit Down,Relocated,1978-01-01
Azteka,Le Pal,Steel,Sit Down,Operating,2003-01-01
Ba-a-a-Express,Europa Park,Steel,Sit Down,Operating,2016-01-01
Baby Airplane,O-World,Steel,Sit Down,Operating,2007-01-01
Baby Coaster,Happy Valley,Steel,Sit Down,Operating,2008-01-01
Baby Dipper,Happyland Park,Wood,Sit Down,,1928-01-01
Babylon,Happylon,Steel,Sit Down,,2010-01-01
Babylon Spinning Coaster,Babylon Park,Steel,Sit Down,Operating,2014-01-01
Baby Pomme,Parc Babyland,Steel,Sit Down,Operating,2006-01-01
Baby Roller Coaster,Floraland Continent Park,Steel,Sit Down,,2013-01-01
Baby Wildcat,Idora Park,Wood,Sit Down,,
Baby Wild Cat,Woodside Park,Steel,Sit Down,Relocated,1950-01-01
Back at the Barnyard Hayride,Nickelodeon Universe,Steel,Sit Down,Operating,1995-01-01
Backety-Back Scenic Railway,Crystal Beach,Wood,Sit Down,,1909-01-01
Backlot Stunt Coaster,Kings Island,Steel,Sit Down,Operating,2005-01-01
Back Lot Stunt Coaster,Canada's Wonderland,Steel,Sit Down,Operating,2005-01-01
Back Lot Stunt Coaster,Kings Dominion,Steel,Sit Down,Operating,2006-01-01
Backyardigans: Mission to Mars,Movie Park Germany,Steel,Sit Down,Operating,1996-01-01
Bärenbob,Sommerrodelbahn Grafenau,Steel,Sit Down,Operating,1998-01-01
Balagos - Flying Flame,Avonturenpark Hellendoorn,Steel,Sit Down,Operating,1990-01-01
Balancier,Futuroscope,Steel,Sit Down,Operating,2006-01-01
Balatoni Hullámvasút,Zobori Élmény Park,Steel,Sit Down,Operating,2019-01-01
Balaurul 7 Capete,Parcul Lacul Tei,Steel,Sit Down,Operating,2017-01-01
Balder,Liseberg,Wood,Sit Down,Operating,2003-01-01
Banana Coaster,Pleasure Garden,Steel,Sit Down,Operating,2009-01-01
Banane,Freizeitpark Stubenberg See,Steel,Sit Down,Operating,1990-01-01
Bandidos,Mer de Sable,Steel,Sit Down,Operating,2016-01-01
Bandit,Movie Park Germany,Wood,Sit Down,Operating,1999-01-01
Bandit,Yomiuriland,Steel,Sit Down,Operating,1988-01-01
Bandit Bomber,Yas Waterworld,Steel,Inverted,Operating,2013-01-01
Banshee,Kings Island,Steel,Inverted,Operating,2014-01-01
Barnstormer,Walt Disney World - Magic Kingdom,Steel,Sit Down,Operating,1996-01-01
Barnstormer,Adventure Island,Steel,Sit Down,Operating,2000-01-01
Barnyard Coaster,4D Farm,Steel,Sit Down,Operating,2019-01-01
Barnyard Dance,Bengtson's Pumpkin Farm,Steel,Sit Down,Operating,2017-01-01
Baron 1898,Efteling,Steel,Sit Down,Operating,2015-01-01
Barracuda,Fuli Ocean Happy World,Steel,Sit Down,Under Construction,2021-01-01
Barracuda,Jolly Roger Amusement Park,Steel,Sit Down,Operating,2019-01-01
Barreling Rapids,Austin's Park,Steel,Sit Down,Operating,2021-01-01
Barry's Big Dipper,Barry's Amusements,Steel,Sit Down,SBNO,2002-01-01
Basoto Bruko,Panda Park Posillipo,Steel,Sit Down,Operating,2004-01-01
Bassotto,Fantasiland,Steel,Sit Down,Operating,2002-01-01
Bassotto,Edenlandia,Steel,Sit Down,Operating,2019-01-01
Bassotto,Fiesta Parc,Steel,Sit Down,Operating,2020-01-01
Bat,Canada's Wonderland,Steel,Sit Down,Operating,1987-01-01
Bat,Kings Island,Steel,Suspended,Operating,1993-01-01
Bat,Kings Island,Steel,Suspended,,1981-01-01
Bat,Lagoon,Steel,Inverted,Operating,2005-01-01
Bat Coaster,Nigloland,Steel,Inverted,Relocated,2002-01-01
Bat Coaster,Antibes Land,Steel,Inverted,,2007-01-01
Bat Diving Speedy Car,Hangzhou Children's Park,Steel,Suspended,,2003-01-01
Bat Flight,Datong Park,Steel,Suspended,,2009-01-01
Batflyer,Lightwater Valley,Steel,Suspended,Relocated,1996-01-01
Batflyer,Duinrell,Steel,Suspended,,
Batflyer,Hamanako Pal Pal,Steel,Suspended,Relocated,2001-01-01
Batflyer,Nasu Highland Park,Steel,Suspended,SBNO,2001-01-01
Batflyer,World in Miniature,Steel,Suspended,,
Bat Flyer,Yingze Park,Steel,Suspended,,2008-01-01
Bat from Heaven,Aquatic Paradise,Steel,Suspended,SBNO,2007-01-01
Bat Glider,Trans Studio Bali,Steel,Suspended,Operating,2019-01-01
Bat Glider,Trans Studio Cibubur,Steel,Suspended,Operating,2019-01-01
Bat Hatari: Perseguição em Gotham City,Hopi Hari,Steel,Sit Down,Operating,1999-01-01
Batman,Malmö Folkets Park,Steel,Sit Down,Relocated,2006-01-01
Batman,Furuvik,Steel,Sit Down,Relocated,2007-01-01
Batman,Malmö Folkets Park,Steel,Sit Down,Relocated,2009-01-01
Batman,Tir Prince Family Funfair,Steel,Sit Down,Operating,2017-01-01
Batman And Robin: The Chiller,Six Flags Great Adventure,Steel,Sit Down,Relocated,1998-01-01
Batman: Arkham Asylum,Parque Warner Madrid,Steel,Inverted,Operating,2002-01-01
Batman - The Dark Knight,Six Flags New England,Steel,Sit Down,Operating,2002-01-01
Batman The Escape,Six Flags AstroWorld,Steel,Stand Up,Relocated,1993-01-01
Batman The Ride,Six Flags Great America,Steel,Inverted,Operating,1992-01-01
Batman The Ride,Six Flags Magic Mountain,Steel,Inverted,Operating,1994-01-01
Batman The Ride,Six Flags Great Adventure,Steel,Inverted,Operating,1993-01-01
Batman The Ride,Six Flags St. Louis,Steel,Inverted,Operating,1995-01-01
Batman The Ride,Six Flags Over Georgia,Steel,Inverted,Operating,1997-01-01
Batman The Ride,Six Flags Over Texas,Steel,Inverted,Operating,1999-01-01
Batman The Ride,Six Flags Mexico,Steel,Inverted,Operating,2000-01-01
Batman: The Ride,Six Flags New Orleans,Steel,Inverted,Relocated,2003-01-01
Batman The Ride,Six Flags Fiesta Texas,Steel,Wing,Operating,2015-01-01
Batman The Ride,Six Flags Discovery Kingdom,Steel,Wing,Operating,2019-01-01
Battle of Blue Fire,Quancheng Euro Park,Steel,Sit Down,Operating,2014-01-01
Battle of Jungle King,Hefei Sunac Land,Steel,Sit Down,Operating,2016-01-01
Battlestar Galactica,Universal Studios Singapore,Steel,Inverted,Operating,2010-01-01
Batukai-Racer,Serengeti Park,Steel,Sit Down,Operating,2020-01-01
Batwing,Six Flags America,Steel,Flying,Operating,2001-01-01
Batwing Coaster,Aatapi Wonderland,Steel,Sit Down,Operating,2018-01-01
Bavarian Beetle,Kings Island,Steel,Sit Down,,1972-01-01
Bayern Express,Nigloland,Steel,Sit Down,Relocated,1988-01-01
Bayerwald-Coaster,Rodel- und Freizeitparadies St. Englmar,Steel,Sit Down,Operating,2007-01-01
Bayou Express,Le Fleury,Steel,Sit Down,Operating,2020-01-01
Bayside Coaster,Onokoro,Steel,Sit Down,,1998-01-01
Baz Coaster Ride,Island of Legends,Steel,Sit Down,Operating,2018-01-01
Beach Coaster,Coaster Park,Wood,Sit Down,,1928-01-01
Bear Cat,Sans Souci Park,Wood,Sit Down,,1928-01-01
Bear Coaster,Higashiyama Zoo and Botanical Gardens,Steel,Sit Down,Operating,2003-01-01
Bear Trax,Seabreeze,Steel,Sit Down,Operating,1997-01-01
Beast,Kings Island,Wood,Sit Down,Operating,1979-01-01
