Roller Coaster,Amusement Park,Type,Design,Status,Opened
Battlestar Galactica,Universal Studios Singapore,Steel,Inverted,Operating,2010
Batukai-Racer,Serengeti Park,Steel,Sit Down,Operating,2020
Batwing,Six Flags America,Steel,Flying,Operating,2001
Batwing Coaster,Aatapi Wonderland,Steel,Sit Down,Operating,2018
Bavarian Beetle,Kings Island,Steel,Sit Down,,1972
Bayern Express,Nigloland,Steel,Sit Down,Relocated,1988
Bayerwald-Coaster,Rodel- und Freizeitparadies St. Englmar,Steel,Sit Down,Operating,2007
Bayou Express,Le Fleury,Steel,Sit Down,Operating,2020
Bayside Coaster,Onokoro,Steel,Sit Down,,1998
Baz Coaster Ride,Island of Legends,Steel,Sit Down,Operating,2018
Beach Coaster,Coaster Park,Wood,Sit Down,,1928
Bear Cat,Sans Souci Park,Wood,Sit Down,,1928
Bear Coaster,Higashiyama Zoo and Botanical Gardens,Steel,Sit Down,Operating,2003
Bear Trax,Seabreeze,Steel,Sit Down,Operating,1997
Beast,Kings Island,Wood,Sit Down,Operating,1979
Beastie,Alton Towers,Steel,Sit Down,Relocated,1983
Beastie,Wonderland Sydney,Wood,Sit Down,,1985
Beast Mountain Coaster,Killington Resort,Steel,Sit Down,Operating,2015
Beaver Land Mine Ride,Geauga Lake & Wildwater Kingdom,Steel,Sit Down,Relocated,2000
Beehive Coaster,Dreamland,Steel,Sit Down,Operating,2017
Behemoth,Canada's Wonderland,Steel,Sit Down,Operating,2008
Beluga,Hasunuma Kaihin Park,Steel,Sit Down,,2005
Ben 10,Cartoon Network World,Steel,Sit Down,Operating,2009
Ben Hur Racer,Fraser's Million Dollar Pier,Wood,Sit Down,,1914
Ben Hur Roller Coaster,Electric Park,Wood,Sit Down,,1913
Bergbana,Gröna Lund,Wood,Sit Down,,1931
Bergbanan,Liseberg,Wood,Sit Down,,1923
Bergbanan,Baltic Fair,Wood,Sit Down,,1914
Berg och dalbanan,Stockholm Exhibition,Wood,Sit Down,Relocated,1930
Bergochdalbanan,Leksand Sommarland,Steel,Sit Down,Operating,2007
Berg- og dalbane,Lilleputthammer,Steel,Sit Down,Operating,2007
Berg- und Talbahn,Luna Park,Wood,Sit Down,,1918
Berta,Areál Mladé Buky,Steel,Sit Down,Operating,2011
Besna Pehta,Kranjska Gora,Steel,Sit Down,Operating,2005
Bheem The Bomerang,Aatapi Wonderland,Steel,Sit Down,Operating,2018
Big Adventure Coaster,Adventure World,Steel,Sit Down,Operating,1990
Big Air,E-DA Theme Park,Steel,Sit Down,Operating,2010
Big Apple,Luna Park,Steel,Sit Down,,1977
Big Apple,Southport Pleasureland,Steel,Sit Down,,1982
Big Apple,Great Yarmouth Pleasure Beach,Steel,Sit Down,Operating,1998
Big Apple,Botton's Pleasure Beach,Steel,Sit Down,Operating,1987
Big Apple,Dreamland,Steel,Sit Down,,1986
Big Apple,M&Ds Scotland's Theme Park,Steel,Sit Down,Relocated,1999
Big Apple,EsselWorld,Steel,Sit Down,Operating,1998
Big Apple,Sindbad Amusement Park,Steel,Sit Down,,2002
Big Apple,Ocean Beach Pleasure Park,Steel,Sit Down,Operating,2002
Big Apple,Allou Fun Park,Steel,Sit Down,Operating,2008
Big Apple,Parc Avenue,Steel,Sit Down,,
Big Apple,Blackpool Pleasure Beach,Steel,Sit Down,Relocated,2003
Big Apple,Peter Pan's Playground,Steel,Sit Down,,
Big Apple,Billing Aquadrome,Steel,Sit Down,Relocated,2003
Big Apple,Flamingo Park,Steel,Sit Down,Relocated,2006
Big Apple,Surya Funcity,Steel,Sit Down,Operating,2002
Big Apple,West Sands Fun Fair,Steel,Sit Down,Operating,2012
Big Apple,M&Ds Scotland's Theme Park,Steel,Sit Down,Relocated,2007
Big Apple,M&Ds Scotland's Theme Park,Steel,Sit Down,Operating,2011
Big Apple,Aydoğdu Lunapark,Steel,Sit Down,,2016
